,Model name,Threshold,Accuracy,True Positives,False Positive,FP Percent,True Negatives,False Negatives,FN Percent,Recall
123,cancer_RO,0.35,0.5557170542635659,33329,30185,47.52495512800328,5669,993,14.905433803662563,0.8509456619633744
124,cancer_RO,0.3,0.5097611719106248,29865,33649,52.97887080013856,5908,754,11.317922545782046,0.8868207745421796
125,cancer_RO,0.25,0.4636200410396717,26432,37082,58.38397833548509,6103,559,8.39087361152807,0.9160912638847193
126,cancer_RO,0.2,0.4148141814865481,22836,40678,64.04572220297887,6274,388,5.824076853797658,0.9417592314620234
127,cancer_RO,0.15,0.36220360237118104,19017,44497,70.05856976414648,6401,261,3.9177424196937856,0.9608225758030622
128,cancer_RO,0.1,0.29759461924304603,14373,49141,77.37034354630475,6511,151,2.266586610627439,0.9773341338937256
129,cancer_RO,0.05,0.21037106703146374,8151,55363,87.1666089366124,6612,50,0.7505253677574302,0.9924947463224257
130,cancer_RU,0.5,0.6540840173278614,40913,22601,35.58428063104198,4988,1674,25.12758931251876,0.7487241068748124
131,cancer_RU,0.45,0.6082421340629275,37321,26193,41.23972667443398,5363,1299,19.498649054338035,0.8050135094566196
132,cancer_RU,0.4,0.5627849977200182,33856,29658,46.6952168025947,5638,1024,15.37075953167217,0.8462924046832783
133,cancer_RU,0.35,0.5197360921112631,30580,32934,51.85313474194666,5893,769,11.543080156109276,0.8845691984389072
134,cancer_RU,0.3,0.4753049475604195,27266,36248,57.07088201026546,6089,573,8.60102071450015,0.9139897928549985
135,cancer_RU,0.25,0.4318142954856361,24071,39443,62.101269011556504,6232,430,6.4545181627139,0.935454818372861
136,cancer_RU,0.2,0.3837779297765618,20569,42945,67.61501401265862,6363,299,4.488141699189432,0.9551185830081057
137,cancer_RU,0.15,0.3318513451892385,16817,46697,73.52237302012155,6471,191,2.8670069048333833,0.9713299309516662
138,cancer_RU,0.1,0.26717111263109894,12187,51327,80.8121044179236,6562,100,1.5010507355148603,0.9849894926448514
139,cancer_RU,0.05,0.18415127678978568,6290,57224,90.0966715999622,6633,29,0.43530471329930953,0.9956469528670069
140,skin_cancer_imbalanced,0.5,0.9052525079799362,63337,264,0.41508781308469994,190,6385,97.11026615969581,0.028897338403041824
141,skin_cancer_imbalanced,0.45,0.9042835157318742,63124,477,0.7499882077325828,335,6240,94.90494296577947,0.05095057034220532
142,skin_cancer_imbalanced,0.4,0.9020035339717283,62770,831,1.3065832298234306,529,6046,91.95437262357414,0.08045627376425855
143,skin_cancer_imbalanced,0.35,0.8966313269493844,62095,1506,2.367887297369538,827,5748,87.42205323193917,0.12577946768060835
144,skin_cancer_imbalanced,0.3,0.8879816461468308,61023,2578,4.053395386864986,1292,5283,80.34980988593155,0.19650190114068442
145,skin_cancer_imbalanced,0.25,0.8717795257637939,59266,4335,6.815930567129448,1912,4663,70.92015209125475,0.2907984790874525
146,skin_cancer_imbalanced,0.2,0.8389477884176927,56139,7462,11.732519928931936,2735,3840,58.40304182509506,0.4159695817490494
147,skin_cancer_imbalanced,0.15,0.7834587323301414,51259,12342,19.405355261709722,3721,2854,43.40684410646388,0.5659315589353612
148,skin_cancer_imbalanced,0.1,0.6903784769721842,43590,20011,31.463341771355797,4858,1717,26.114068441064635,0.7388593155893536
149,skin_cancer_imbalanced,0.05,0.5381611947104423,31868,31733,49.89386959324539,5898,677,10.29657794676806,0.8970342205323194
150,skin_cancer_RO,0.5,0.7006526447788418,44453,19148,30.106444867219068,4716,1859,28.273764258555133,0.7172623574144487
151,skin_cancer_RO,0.45,0.6600119699042407,41237,22364,35.16296913570541,5080,1495,22.73764258555133,0.7726235741444867
152,skin_cancer_RO,0.4,0.6186445508435933,38004,25597,40.2462225436707,5410,1165,17.718631178707227,0.8228136882129278
153,skin_cancer_RO,0.35,0.5773198814409485,34845,28756,45.213125579786485,5669,906,13.779467680608365,0.8622053231939163
154,skin_cancer_RO,0.3,0.5397286821705426,31998,31603,49.68947029134762,5878,697,10.600760456273765,0.8939923954372624
155,skin_cancer_RO,0.25,0.504046967624259,29321,34280,53.89852360811936,6051,524,7.96958174904943,0.9203041825095057
156,skin_cancer_RO,0.2,0.4678095075239398,26631,36970,58.1280168550809,6198,377,5.733840304182509,0.9426615969581749
157,skin_cancer_RO,0.15,0.4283230734154127,23737,39864,62.67825977578969,6321,254,3.8631178707224336,0.9613688212927757
158,skin_cancer_RO,0.1,0.38313668490652075,20476,43125,67.80553764877911,6411,164,2.494296577946768,0.9750570342205324
159,skin_cancer_RO,0.05,0.31500797993616053,15614,47987,75.45007153975565,6492,83,1.2623574144486691,0.9873764258555133
160,skin_cancer_RU,0.5,0.6638309393524852,41530,22071,34.70228455527429,5055,1520,23.11787072243346,0.7688212927756654
161,skin_cancer_RU,0.45,0.6240737574099408,38390,25211,39.63931384726656,5405,1170,17.79467680608365,0.8220532319391635
162,skin_cancer_RU,0.4,0.5847725718194254,35369,28232,44.38923916290624,5668,907,13.79467680608365,0.8620532319391635
163,skin_cancer_RU,0.35,0.5469676242590059,32520,31081,48.86872847911196,5864,711,10.813688212927756,0.8918631178707225
164,skin_cancer_RU,0.3,0.510858413132695,29802,33799,53.14224619109762,6048,527,8.015209125475286,0.9198479087452471
165,skin_cancer_RU,0.25,0.4741364569083447,27082,36519,57.41890850772786,6191,384,5.840304182509506,0.941596958174905
166,skin_cancer_RU,0.2,0.438312243502052,24471,39130,61.524189871228444,6288,287,4.365019011406844,0.9563498098859315
167,skin_cancer_RU,0.15,0.399937300501596,21684,41917,65.90619644345215,6382,193,2.935361216730038,0.9706463878326996
168,skin_cancer_RU,0.1,0.3535254217966256,18357,45244,71.13724626971273,6452,123,1.8707224334600763,0.9812927756653992
169,skin_cancer_RU,0.05,0.28424247606019154,13429,50172,78.88555211396047,6518,57,0.8669201520912547,0.9913307984790874
170,COPD_RO,0.5,0.8290013679890561,54345,10673,16.415454181918854,3831,1327,25.72702597906165,0.7427297402093834
171,COPD_RO,0.45,0.8069852941176471,52626,12392,19.059337414254514,4005,1153,22.353625436215587,0.7764637456378441
172,COPD_RO,0.4,0.7827889876880985,50783,14235,21.893937063582392,4150,1008,19.5424583171772,0.804575416828228
173,COPD_RO,0.35,0.753405722754218,48582,16436,25.279153465194256,4289,869,16.84761535478868,0.8315238464521132
174,COPD_RO,0.3,0.7208162334701322,46152,18866,29.016580023993356,4432,726,14.07522295463358,0.8592477704536642
175,COPD_RO,0.25,0.6811730506155951,43240,21778,33.49533975206866,4562,596,11.554866227219852,0.8844513377278015
176,COPD_RO,0.2,0.6311844505243958,39594,25424,39.103017625888214,4700,458,8.879410624272973,0.9112058937572702
177,COPD_RO,0.15,0.5647514819881441,34816,30202,46.45175182257221,4816,342,6.630476929042264,0.9336952307095774
178,COPD_RO,0.1,0.4693627450980392,27981,37037,56.96422529145775,4957,201,3.896859247770454,0.9610314075222954
179,COPD_RO,0.05,0.3010858413132695,16051,48967,75.31299024885416,5078,80,1.5509887553315238,0.9844901124466847
180,COPD_RU,0.5,0.7876196990424077,51188,13830,21.271032637115876,4084,1074,20.822024040325708,0.791779759596743
181,COPD_RU,0.45,0.7621551527587779,49264,15754,24.23021317173706,4221,937,18.165955796820473,0.8183404420317952
182,COPD_RU,0.4,0.7361348609211126,47293,17725,27.261681380540775,4366,792,15.354788677782086,0.8464521132221792
183,COPD_RU,0.35,0.7054548563611491,45018,20000,30.7607124180996,4488,670,12.989530825901513,0.8701046917409849
184,COPD_RU,0.3,0.6709701322389421,42491,22527,34.64732843212649,4595,563,10.915083365645598,0.890849166343544
185,COPD_RU,0.25,0.630343707250342,39533,25485,39.19683779876342,4702,456,8.840635905389686,0.9115936409461032
186,COPD_RU,0.2,0.5807256041951664,35933,29085,44.73376603402135,4820,338,6.552927491275688,0.9344707250872432
187,COPD_RU,0.15,0.5130528955768354,31097,33921,52.171706296717836,4907,251,4.866227219852656,0.9513377278014734
188,COPD_RU,0.1,0.420499886000912,24496,40522,62.324279430311606,5013,145,2.811167119038387,0.9718883288096162
189,COPD_RU,0.05,0.2709758321933425,13911,51107,78.60438647759082,5105,53,1.0275300504071345,0.9897246994959287
190,Arthritis_RO,0.5,0.7403670770633834,35166,12326,25.95384485808136,16790,5894,25.983071768647502,0.740169282313525
191,Arthritis_RO,0.45,0.720360237118103,32704,14788,31.137875852775203,17848,4836,21.31899135954858,0.7868100864045142
192,Arthritis_RO,0.4,0.6987004103967168,30154,17338,36.507201212835845,18878,3806,16.778345970728267,0.8322165402927173
193,Arthritis_RO,0.35,0.6719248746010031,27420,20072,42.263960245936154,19733,2951,13.00916945864927,0.8699083054135073
194,Arthritis_RO,0.3,0.6413873689010487,24532,22960,48.34498441842837,20478,2206,9.724916240521955,0.9027508375947805
195,Arthritis_RO,0.25,0.6092253761969905,21664,25828,54.38389623515539,21089,1595,7.031387762299418,0.9296861223770058
196,Arthritis_RO,0.2,0.5735294117647058,18709,28783,60.60599679946096,21539,1145,5.047610650678893,0.9495238934932111
197,Arthritis_RO,0.15,0.531577747378021,15333,32159,67.7145624526236,21971,713,3.1431846235231884,0.9685681537647681
198,Arthritis_RO,0.1,0.4754331965344277,11083,36409,76.66343805272466,22281,403,1.776582613295715,0.9822341738670428
199,Arthritis_RO,0.05,0.4065064979480164,5986,41506,87.39577191948118,22541,143,0.6304002821371892,0.9936959971786281
200,Depression_RO,0.5,0.7829029867761058,45583,11163,19.671871145102738,9358,4072,30.320178704393147,0.6967982129560685
201,Depression_RO,0.45,0.758093935248518,43279,13467,23.732069220738026,9921,3509,26.12807148175726,0.7387192851824274
202,Depression_RO,0.4,0.7289101687186502,40699,16047,28.278645190850455,10453,2977,22.166790766939688,0.7783320923306031
203,Depression_RO,0.35,0.6910339717282262,37514,19232,33.89137560356677,10980,2450,18.242740134028296,0.8175725986597171
204,Depression_RO,0.3,0.6428551071591427,33647,23099,40.7059528424911,11466,1964,14.62397617274758,0.8537602382725242
205,Depression_RO,0.25,0.5830340857273142,28960,27786,48.965565854862014,11955,1475,10.982874162323156,0.8901712583767685
206,Depression_RO,0.2,0.5057997036023711,23021,33725,59.43150177986114,12474,956,7.118391660461652,0.9288160833953835
207,Depression_RO,0.15,0.40463976288189696,15480,41266,72.72054417932542,12916,514,3.8272524199553235,0.9617274758004467
208,Depression_RO,0.1,0.29369015047879615,7369,49377,87.01406266520988,13241,189,1.4072970960536113,0.9859270290394638
209,Depression_RO,0.05,0.20874658002735977,1247,55499,97.80248828111232,13402,28,0.20848845867460908,0.997915115413254
210,Kidney_RO,0.5,0.8181999544003647,56083,11655,17.205999586642655,1335,1103,45.24200164068909,0.5475799835931091
211,Kidney_RO,0.45,0.7862802097583219,53726,14012,20.685582686232248,1452,986,40.442986054142736,0.5955701394585726
212,Kidney_RO,0.4,0.751296739626083,51137,16601,24.507661873689806,1586,852,34.94667760459393,0.6505332239540607
213,Kidney_RO,0.35,0.7099435704514364,48099,19639,28.992589093271132,1722,716,29.368334700574238,0.7063166529942576
214,Kidney_RO,0.3,0.6601402188782489,44499,23239,34.30718356018778,1827,611,25.06152584085316,0.7493847415914684
215,Kidney_RO,0.25,0.6037249202006384,40411,27327,40.3422008326198,1956,482,19.77030352748154,0.8022969647251845
216,Kidney_RO,0.2,0.5358099635202919,35547,32191,47.52280846792052,2054,384,15.750615258408532,0.8424938474159147
217,Kidney_RO,0.15,0.45063839489284085,29465,38273,56.50152056452803,2159,279,11.44380639868745,0.8855619360131255
218,Kidney_RO,0.1,0.33537106703146374,21277,46461,68.58927042428179,2258,180,7.383100902378999,0.92616899097621
219,Kidney_RO,0.05,0.1827547879616963,10456,57282,84.56405562608876,2369,69,2.8301886792452833,0.9716981132075472
220,Diabetes_RO,0.5,0.7583219334245326,45762,14682,24.29025213420687,7454,2278,23.407316070694616,0.7659268392930538
221,Diabetes_RO,0.45,0.7330141358869129,43607,16837,27.855535702468398,7833,1899,19.512946979038222,0.8048705302096177
222,Diabetes_RO,0.4,0.7050273597811217,41334,19110,31.616041294421283,8142,1590,16.337854500616523,0.8366214549938348
223,Diabetes_RO,0.35,0.6757438440492476,38980,21464,35.51055522467077,8441,1291,13.265515824085492,0.8673448417591451
224,Diabetes_RO,0.3,0.6435533515731874,36440,24004,39.71279200582357,8722,1010,10.378133990957664,0.8962186600904234
225,Diabetes_RO,0.25,0.6082991336069311,33754,26690,44.15657468069618,8934,798,8.199753390875463,0.9180024660912454
